"아황산가스 (ppm/년)","일산화탄소 (ppm/8시간)","이산화질소 (ppm/년)","미세먼지 (㎍/㎥/년)","초미세먼지 (㎍/㎥/년)","오존 (ppm/8시간)","시점"
0.005,0.7,0.035,53,32,0.014,"2017-01-10"
0.005,0.6,0.035,46,28,0.018,"2017-02-10"
0.005,0.6,0.038,60,39,0.025,"2017-03-10"
0.005,0.5,0.031,56,26,0.035,"2017-04-10"
0.005,0.4,0.028,63,24,0.039,"2017-05-10"
0.004,0.4,0.024,41,22,0.041,"2017-06-10"
0.004,0.4,0.023,33,22,0.03,"2017-07-10"
0.004,0.4,0.021,21,13,0.024,"2017-08-10"
0.004,0.5,0.027,32,19,0.027,"2017-09-10"
0.004,0.5,0.027,29,15,0.02,"2017-10-10"
0.005,0.6,0.033,42,22,0.014,"2017-11-10"
0.005,0.7,0.034,50,32,0.011,"2017-12-10"
0.006,0.6,0.035,52,32,0.014,"2018-01-10"
0.005,0.6,0.034,53,30,0.018,"2018-02-10"
0.005,0.6,0.033,52,34,0.026,"2018-03-10"
0.004,0.5,0.031,52,26,0.031,"2018-04-10"
0.004,0.4,0.025,42,23,0.034,"2018-05-10"
0.004,0.4,0.024,37,24,0.035,"2018-06-10"
0.004,0.4,0.019,24,16,0.024,"2018-07-10"
0.004,0.4,0.017,22,14,0.03,"2018-08-10"
0.003,0.4,0.019,20,10,0.027,"2018-09-10"
0.004,0.5,0.028,28,15,0.018,"2018-10-10"
0.005,0.7,0.039,52,28,0.011,"2018-11-10"
0.005,0.6,0.035,43,24,0.012,"2018-12-10"
0.005,0.8,0.039,66,38,0.012,"2019-01-10"
0.005,0.7,0.036,57,35,0.018,"2019-02-10"
0.005,0.6,0.034,69,45,0.028,"2019-03-10"
0.004,0.5,0.029,41,21,0.029,"2019-04-10"
0.005,0.5,0.028,52,29,0.043,"2019-05-10"
0.004,0.4,0.02,29,20,0.039,"2019-06-10"
0.004,0.4,0.018,26,19,0.031,"2019-07-10"
0.004,0.4,0.018,25,16,0.03,"2019-08-10"
0.003,0.4,0.021,21,12,0.024,"2019-09-10"
0.003,0.5,0.025,31,15,0.021,"2019-10-10"
0.004,0.6,0.034,40,20,0.013,"2019-11-10"
0.004,0.7,0.035,42,28,0.011,"2019-12-10"
0.004,0.7,0.034,42,29,0.014,"2020-01-10"
0.003,0.6,0.032,41,28,0.018,"2020-02-10"
0.003,0.5,0.027,45,25,0.027,"2020-03-10"
0.003,0.4,0.021,44,21,0.036,"2020-04-10"
0.003,0.4,0.02,35,19,0.034,"2020-05-10"
0.003,0.4,0.019,36,21,0.044,"2020-06-10"
0.002,0.4,0.016,21,13,0.031,"2020-07-10"
0.003,0.3,0.014,23,14,0.019,"2020-08-10"
0.003,0.4,0.016,19,11,0.028,"2020-09-10"
0.003,0.5,0.025,33,17,0.022,"2020-10-10"
0.003,0.6,0.03,42,24,0.015,"2020-11-10"
0.004,0.6,0.032,42,27,0.014,"2020-12-10"
0.004,0.6,0.031,38,21,0.015,"2021-01-10"
0.003,0.6,0.03,48,29,0.022,"2021-02-10"
0.003,0.5,0.032,67,32,0.025,"2021-03-10"
0.003,0.4,0.022,42,19,0.037,"2021-04-10"
0.003,0.4,0.019,61,20,0.036,"2021-05-10"
0.003,0.4,0.018,33,19,0.041,"2021-06-10"
0.003,0.3,0.016,24,15,0.038,"2021-07-10"
0.003,0.4,0.015,22,13,0.034,"2021-08-10"
0.003,0.4,0.014,15,7,0.031,"2021-09-10"
0.003,0.4,0.022,27,13,0.022,"2021-10-10"
0.003,0.6,0.031,45,26,0.018,"2021-11-10"
0.003,0.6,0.031,39,23,0.014,"2021-12-10"
